"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Chimatiro Health Centre","Chimatiro Health Centre","Southern","Balaka","STA Chimatiro","BK3626","2","BEmONC","No","-14.962586","35.0229351"
"Chiyendausiku Health Centre","Chiyendausiku Health Centre","Southern","Balaka","TA Nsamala","BK3612","2","BEmONC","No","-15.0187537","35.0770396"
"Comfort Community Hospital","Comfort Community Hospital","Southern","Balaka","TA Nsamala","BK3615","3","CEmONC","No","-15.0032023","34.9524845"
"Dziwe Dispensary","Dziwe Dispensary","Southern","Balaka","TA Mpilisi","BK3627","1","Non-EmONC","No","-15.1022733","35.1405633"
"Kalembo Health Centre","Kalembo Health Centre","Southern","Balaka","TA Kalembo","BK3603","2","BEmONC","No","-14.8427462","35.1706622"
"Kankao Health Centre","Kankao Health Centre","Southern","Balaka","TA Chanthunya","BK3604","2","BEmONC","No","-15.0545117","34.9222702"
"Khwisa Health Centre","Khwisa Health Centre","Southern","Balaka","TA Matola","BK171935","2","BEmONC","No","-14.8962873","34.9469159"
"Kwitanda Health Centre","Kwitanda Health Centre","Southern","Balaka","TA Nsamala","BK3613","2","Non-EmONC","No","-15.0649233","35.0930617"
"Mbera Health Centre","Mbera Health Centre","Southern","Balaka","STA Mbera","BK3605","2","BEmONC","No","-14.9106605","35.0535347"
"Mwima Dispensary","Mwima Dispensary","Southern","Balaka","TA Amidu","BK3617","1","Non-EmONC","No","-14.9298313","35.1847951"
"Namanolo Dispensary","Namanolo Dispensary","Southern","Balaka","TA Amidu","BK3611","1","Non-EmONC","No","-15.0006028","35.1902465"
"Nandumbo Health Centre","Nandumbo Health Centre","Southern","Balaka","TA Kalembo","BK3616","2","BEmONC","No","-14.8516627","35.2252371"
"Phalula Health Centre","Phalula Health Centre","Southern","Balaka","TA Phalula","BK3606","2","BEmONC","No","-15.2255415","34.8932123"
"Phimbi Health Centre","Phimbi Health Centre","Southern","Balaka","TA Phimbi","BK3607","2","BEmONC","No","-15.25083","35.107365"
"Ulongwe Health Centre","Ulongwe Health Centre","Southern","Balaka","TA Kalembo","BK3608","2","BEmONC","No","-14.8621778","35.1768345"
"Utale 1 Health Centre","Utale 1 Health Centre","Southern","Balaka","TA Nkaya","BK3609","2","BEmONC","No","-15.1775817","35.0641817"
"Utale 2 Health Centre","Utale 2 Health Centre","Southern","Balaka","TA Nkaya","BK3610","2","Non-EmONC","No","-15.1701533","35.0725083"
"Ameca Health Centre","Ameca Health Centre","Southern","Blantyre","TA Machinjiri","BT5077","2","Non-EmONC","No","-15.7032249","35.0443055"
"Bangwe Community Hospital","Bangwe Community Hospital","Southern","Blantyre","TA Machinjiri","BT240041","2","BEmONC","No","-15.8238016","35.0804111"
"Chabvala Health Centre","Chabvala Health Centre","Southern","Blantyre","TA Kunthembwe","BT240136","2","BEmONC","No","-15.8337283","34.8344417"
"Chikowa Community Hospital","Chikowa Community Hospital","Southern","Blantyre","TA Kunthembwe","BT2903","2","BEmONC","No","-15.6713742","34.8711084"
"Chileka Community Hospital","Chileka Community Hospital","Southern","Blantyre","TA Kuntanja","BT24202","2","BEmONC","No","-15.68258","34.9707079"
"Chileka SDA Mission Hospital","Chileka SDA Mission Hospital","Southern","Blantyre","TA Kuntaja","BT240204","2","Non-EmONC","No","-15.6598253","34.9289703"
"Chilomoni Community Hospital","Chilomoni Community Hospital","Southern","Blantyre","TA Machinjiri","BT240216","2","BEmONC","No","-15.771478","34.9813533"
"Chimembe Health Centre","Chimembe Health Centre","Southern","Blantyre","TA Kuntaja","BT240227","2","Non-EmONC","No","-15.777382","34.8853568"
"Chipande Health Centre","Chipande Health Centre","Southern","Blantyre","TA Machinjiiri","BT241917","2","Non-EmONC","No","-15.6682023","35.0940223"
"Chirimba Dispensary","Chirimba Dispensary","Southern","Blantyre","TA Machinji","BT240207","1","Non-EmONC","No","-15.7462728","35.0229591"
"Dziwe Health Centre","Dziwe Health Centre","Southern","Blantyre","TA Kuntaja","BT2907","2","Non-EmONC","No","-15.5588267","34.87757"
"Gateway Clinic","Gateway Clinic","Southern","Blantyre","TA Kapeni","BT2945","1","Non-EmONC","No","-15.8047626","35.0180753"
"Kachere Dispensary","Kachere Dispensary","Southern","Blantyre","TA Machinjiri","BT241521","1","Non-EmONC","No","-15.787959","35.0886644"
"Kadidi Health Centre","Kadidi Health Centre","Southern","Blantyre","TA Kapeni","BT240490","2","BEmONC","No","-15.6199876","35.0074038"
"Khungulu Dispensary","Khungulu Dispensary","Southern","Blantyre","TA Kuntaja","BT241522","1","Non-EmONC","No","-15.6448702","34.966967"
"Lighthouse Health Centre","Lighthouse Health Centre","Southern","Blantyre","TA Chigaru","BT2978","2","Non-EmONC","No","-15.4022443","34.9383872"
