"name","label","region","district","ta"
"NT120147","Champiti Health Centre","Central","Ntcheu","TA Champiti"
"NT120178","Chigodi Health Centre","Central","Ntcheu","TA Goodson Ganya"
"NT120182","Chikande Health Centre","Central","Ntcheu","STA Mkutumula"
"NT120186","Chikowa Dispensary","Central","Ntcheu","TA Phambala"
"NT120349","Doviko Health Centre","Central","Ntcheu","TA Mpando"
"NT120376","Dzunje Health Centre","Central","Ntcheu","TA Kwataine"
"NT120416","Ganya Health Centre","Central","Ntcheu","TA Goodson Ganya"
"NT120437","Gowa Health Centre","Central","Ntcheu","TA Njolomole"
"NT120500","Kalimanjira Health Centre","Central","Ntcheu","STA Mkutumula"
"NT120521","Kampanje Health Centre","Central","Ntcheu","TA Njolomole"
"NT120534","Kandeu Health Centre","Central","Ntcheu","TA Goodson Ganya"
"NT120557","Kapeni Health Centre","Central","Ntcheu","TA Phambala"
"NT120581","Kasinje Health Centre","Central","Ntcheu","TA Goodson Ganya"
"NT120601","Katsekera Health Centre","Central","Ntcheu","TA Mpando"
"NT120652","Lake View Health Centre","Central","Ntcheu","TA Njolomole"
"NT120707","Lizulu Health Centre","Central","Ntcheu","TA Chakhumbira"
"NT120751","Machereza Health Post","Central","Ntcheu","STA Tsikulamowa"
"NT120831","Manjawira Health Centre","Central","Ntcheu","STA Tsikulamowa"
"NT120844","Masasa Dispensary","Central","Ntcheu","TA Masasa"
"NT120853","Matanda Health Centre","Central","Ntcheu","TA Mpando"
"NT120963","Mlanda Health Centre","Central","Ntcheu","TA Chakhumbira"
"NT120965","Mlangeni Health Centre","Central","Ntcheu","TA Njolomole"
"NT121003","Mphepozinayi Dispensary","Central","Ntcheu","TA Njolomole"
"NT121037","Mtonda Health Centre","Central","Ntcheu","TA Phambala"
"NT121050","Muluma Dispensary","Central","Ntcheu","TA Njolomole"
"NT121091","Mzama Health Centre","Central","Ntcheu","TA Mpando"
"NT121218","Nsipe Rural Hospital","Central","Ntcheu","TA Makwangwala"
"NT121219","Nsiyaludzu Health Centre","Central","Ntcheu","TA Makwangwala"
"NT121225","Ntcheu District Hospital","Central","Ntcheu","TA Kwataine"
"NT121265","Phanga Dispensary","Central","Ntcheu","TA Masasa"
"NT121327","Senzani Health Centre","Central","Ntcheu","STA Tsikulamowa"
"NT121329","Sharpe Valley Health Centre","Central","Ntcheu","TA Goodson Ganya"
"NT121349","Sr. Tereza Rural Hospital","Central","Ntcheu","TA Phambala"
"NT121444","Tsangano Health Centre","Central","Ntcheu","TA Mpando"
"NT121767","Dochas Health Centre","Central","Ntcheu","TA Mpando"
"NT121778","Doviko Dispensery","Central","Ntcheu","TA Mpando"
"NT080239","Chinguluwe Health Centre","Central","Ntchisi","TA Chilooko"
"NT080247","Chinthembwe Health Centre","Central","Ntchisi","TA Vuso Jere"
"NT080525","Kamsonga Health Centre","Central","Ntchisi","TA Malenga"
"NT080537","Kangolwa Health Centre","Central","Ntchisi","TA Kasakula"
"NT080634","Khuwi Health Centre","Central","Ntchisi","TA Kalumo"
"NT080801","Malambo Health Centre","Central","Ntchisi","TA Chilooko"
"NT080818","Malomo Health Centre","Central","Ntchisi","TA Chilooko"
"NT080951","Mkhuzi Health Centre","Central","Ntchisi","TA Kalumo"
"NT080974","Mndinda Health Centre","Central","Ntchisi","TA Nthondo"
"NT081093","Mzandu Health Centre","Central","Ntchisi","TA Chikho"
"NT081226","Ntchisi District Hospital","Central","Ntchisi","TA Kalumo"
"NT081231","Nthondo Health Centre","Central","Ntchisi","TA Nthondo"
"NT081314","Sambakunsi Health Centre","Central","Ntchisi","TA Nthondo"
"NT081515","Chasolo Dispensary","Central","Ntchisi","TA Chilooko"
"NT081517","Chinkhande Health Centre","Central","Ntchisi","TA Vuso Jere"
"NT081679","Chafumbwa Health Post","Central","Ntchisi","TA Vuso Jere"
"NT081680","Chanjoka Health Post","Central","Ntchisi","TA Nthondo"
"NT081681","Chazim'bobo Health Post","Central","Ntchisi","TA Kasakula"
"NT081682","Mndimba Health Post","Central","Ntchisi","TA Chilooko"
"NT081683","Mthiransembe Health Post","Central","Ntchisi","TA Chilooko"
"NT081687","Nyanga Health Post","Central","Ntchisi","TA Vuso Jere"
"NT081885","Malindi Dispensary","Central","Ntchisi","TA Chikho"
"NT081886","Chandawe Dispensary","Central","Ntchisi","TA Chilooko"
"SA01401","Chinguluwe Health Centre","Central","Salima","TA Karonga"
"SA01402","Chipoka Health Centre","Central","Salima","TA Ndindi"
"SA01403","Chitala Health Centre","Central","Salima","TA Khombedza"
"SA01404","Chisamba Health Centre","Central","Salima","TA Chisamba"
"SA01405","Pemba Health Centre","Central","Salima","TA Pemba"
"SA01406","Khombedza Health Centre","Central","Salima","TA Khombedza"
"SA01407","Lifuwu Health Centre","Central","Salima","TA Kuluunda"
"SA01408","Maganga Health Centre","Central","Salima","TA Maganga"
"SA01409","Makioni Health Centre","Central","Salima","TA Mwanza"
"SA01410","Mchoka Health Centre","Central","Salima","TA Ndindi"
"SA01411","Hope Health Centre","Central","Salima","TA Maganga"
"SA01412","Mnema Health Centre","Central","Salima","TA Makanjira"
"SA01413","Mawale Clinic","Central","Salima","TA Maganga"
"SA01414","Ngodzi Health Centre","Central","Salima","TA Kambalame"
"SA01415","Salima District Hospital","Central","Salima","TA Karonga"
"SA01416","Baptist Medical Clinic","Central","Salima","TA Maganga"
"SA01417","Thavite Health Centre","Central","Salima","TA Mwanza"
"SA01418","Kaphatenga Health Centre","Central","Salima","TA Karonga"
"SA01420","Mafco","Central","Salima","TA Maganga"
"SA01421","Simayiwa Health Centre","Central","Salima","TA Karonga"
"SA01422","Lifeline Health Centre","Central","Salima","TA Kambalame"
"SA01423","Chagunda Health Centre","Central","Salima","TA Kambwiri"
"SA01424","Katawa Health Centre","Central","Salima","TA Karonga"
"SA01425","Parachute Battalion","Central","Salima","TA Kuluunda"
"SA01426","Pothawira Health Centre","Central","Salima","TA Maganga"
"MZ160124","Bwengu Health Centre","Northern","Mzimba North","TA Jalavikuba"
"MZ160309","Choma Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160382","Ekwaiweni Dispensary","Northern","Mzimba North","TA Mtwalo"
"MZ160383","Ekwendeni Mission Hospital","Northern","Mzimba North","TA Mtwalo"
"MZ160390","Emsizini Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160392","Engucwini Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160393","Enukweni Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160481","Kabwafu Health Centre","Northern","Mzimba North","TA Mpherembe"
