"name","label","region","district"
"Phalulatest Health Centre","Phalulatest Health Centre","Southern","Balaka"
"Phalulula Health Centre","Phalulula Health Centre","Southern","Balaka"
"Phimbi Health Centre","Phimbi Health Centre","Southern","Balaka"
"Phimbi Health Post","Phimbi Health Post","Southern","Balaka"
"Ulongwe Health Centre","Ulongwe Health Centre","Southern","Balaka"
"Utale 1 Health Centre","Utale 1 Health Centre","Southern","Balaka"
"UTALE 2 Health Centre","UTALE 2 Health Centre","Southern","Balaka"
"Utale Health Centre","Utale Health Centre","Southern","Balaka"
"Utaleone Health Centre","Utaleone Health Centre","Southern","Balaka"
"Kukalanga Health Centre","Kukalanga Health Centre","Southern","Machinga"
"Nkope Health Centre","Nkope Health Centre","Southern","Machinga"
"Anne Mainga District Hospital","Anne Mainga District Hospital","Southern","Mangochi"
"Assalam Health Centre","Assalam Health Centre","Southern","Mangochi"
"Billy Riordan Mission Hospital","Billy Riordan Mission Hospital","Southern","Mangochi"
"Cape Maclear Dispensary","Cape Maclear Dispensary","Southern","Mangochi"
"Chikole Health Centre","Chikole Health Centre","Southern","Mangochi"
"Chilipa Health Centre","Chilipa Health Centre","Southern","Mangochi"
"Chilonga Health Centre","Chilonga Health Centre","Southern","Mangochi"
"Chimwala Health Centre","Chimwala Health Centre","Southern","Mangochi"
"Chiponde Health Centre","Chiponde Health Centre","Southern","Mangochi"
"Chiumbangame Health Centre","Chiumbangame Health Centre","Southern","Mangochi"
"Chiunda Health Centre","Chiunda Health Centre","Southern","Mangochi"
"Chowe District Hospital","Chowe District Hospital","Southern","Mangochi"
"Iba Health Centre","Iba Health Centre","Southern","Mangochi"
"Jalasi Health Centre","Jalasi Health Centre","Southern","Mangochi"
"Kadango Health Centre","Kadango Health Centre","Southern","Mangochi"
"Kapire Health Centre","Kapire Health Centre","Southern","Mangochi"
"Katema Health Centre","Katema Health Centre","Southern","Mangochi"
"Katuli Health Centre","Katuli Health Centre","Southern","Mangochi"
"Koche Community Hospital","Koche Community Hospital","Southern","Mangochi"
"Kukalanga Health Centre","Kukalanga Health Centre","Southern","Mangochi"
"Kukalanga Health Post","Kukalanga Health Post","Southern","Mangochi"
"Lugola Health Centre","Lugola Health Centre","Southern","Mangochi"
"Lulanga Health Centre","Lulanga Health Centre","Southern","Mangochi"
"Lungwena Health Centre","Lungwena Health Centre","Southern","Mangochi"
"Luwalika Health Centre","Luwalika Health Centre","Southern","Mangochi"
"Maganga Dispensary","Maganga Dispensary","Southern","Mangochi"
"Makanjira Health Centre","Makanjira Health Centre","Southern","Mangochi"
"Malembo Health Centre","Malembo Health Centre","Southern","Mangochi"
"Maleta Dispensary","Maleta Dispensary","Southern","Mangochi"
"Malombe Health Centre","Malombe Health Centre","Southern","Mangochi"
"Malukula Health Centre","Malukula Health Centre","Southern","Mangochi"
"Mamakhadija Health Centre","Mamakhadija Health Centre","Southern","Mangochi"
"Mangochi District Hospital","Mangochi District Hospital","Southern","Mangochi"
"Manochi District Hospital","Manochi District Hospital","Southern","Mangochi"
"Mase Health Centre","Mase Health Centre","Southern","Mangochi"
"Mase Health Post","Mase Health Post","Southern","Mangochi"
"Mbalama Health Centre","Mbalama Health Centre","Southern","Mangochi"
"Mchenga Health Centre","Mchenga Health Centre","Southern","Mangochi"
"Mehboob Community Hospital","Mehboob Community Hospital","Southern","Mangochi"
"Mkucingajwambone Health Centre","Mkucingajwambone Health Centre","Southern","Mangochi"
"Mkumba Health Centre","Mkumba Health Centre","Southern","Mangochi"
"Mkumba Health Post","Mkumba Health Post","Southern","Mangochi"
"Monkeybay Community Hospital","Monkeybay Community Hospital","Southern","Mangochi"
"Mpondas Health Centre","Mpondas Health Centre","Southern","Mangochi"
"Msaka Dispensary","Msaka Dispensary","Southern","Mangochi"
"Mtimabi Health Centre","Mtimabi Health Centre","Southern","Mangochi"
"Mulibwanji Community Hospital","Mulibwanji Community Hospital","Southern","Mangochi"
"Namalaka Health Centre","Namalaka Health Centre","Southern","Mangochi"
"Namkumba Health Centre","Namkumba Health Centre","Southern","Mangochi"
"Namwera Health Centre","Namwera Health Centre","Southern","Mangochi"
"Nancholi Dispensary","Nancholi Dispensary","Southern","Mangochi"
"Nangalamu Health Centre","Nangalamu Health Centre","Southern","Mangochi"
"Nankhwali Health Centre","Nankhwali Health Centre","Southern","Mangochi"
"Nankumba Health Centre","Nankumba Health Centre","Southern","Mangochi"
"Ngapani Health Centre","Ngapani Health Centre","Southern","Mangochi"
"Njereza Dispensary","Njereza Dispensary","Southern","Mangochi"
"Nkope Health Centre","Nkope Health Centre","Southern","Mangochi"
"Phirilongwe Health Centre","Phirilongwe Health Centre","Southern","Mangochi"
"Sinyala Dispensary","Sinyala Dispensary","Southern","Mangochi"
"Somba Health Centre","Somba Health Centre","Southern","Mangochi"
"Sr Martha Health Centre","Sr Martha Health Centre","Southern","Mangochi"
"St Martins Mission Hospital","St Martins Mission Hospital","Southern","Mangochi"
"St Mary's Community Hospital","St Mary's Community Hospital","Southern","Mangochi"
"Stmarys Community Hospital","Stmarys Community Hospital","Southern","Mangochi"
"Kukalanga Health Centre","Kukalanga Health Centre","Southern","Mulanje"
"Amalika Dispensary","Amalika Dispensary","Southern","Thyolo"
"Bvumbwe Health Centre","Bvumbwe Health Centre","Southern","Thyolo"
"Changata Health Centre","Changata Health Centre","Southern","Thyolo"
"Chilengo Dispensary","Chilengo Dispensary","Southern","Thyolo"
"Chimvu Health Centre","Chimvu Health Centre","Southern","Thyolo"
